1/1/1 22 December 1967, Nicholas Parsons with Derek Nimmo, Clement Freud, Wilma Ewart and Beryl Reid, excuses for being late.
24/3/2 7 January 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Geraldine Jones, how to get a seat in a crowded train.
25/3/3 14 January 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, doing nothing.
26/3/4 21 January 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, what you see in the looking glass.
27/3/5 28 January 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Betty Marsden, striking a fresh acquaintance.
28/3/6 4 February 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Lucy Bartlett, dog watch.
29/3/7 11 February 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Geraldine Jones, giving up smoking.
30/3/8 18 February 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Geraldine Jones, the best hour of the week.
31/3/9 25 February 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, gossipping.
32/3/10 4 March 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, what to do with your vitality.
33/3/11 11 March 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Aimi Macdonald, how to be good.
34/3/12 18 March 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Juno Alexander, ?
35/3/13 25 March 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Geraldine Jones, how best to colonise the Moon.
36/3/14 1 April 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Geraldine Jones, ?
37/4/1 29 September 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, what to reply to how to you do.
38/4/2 6 October 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Miriam Karlin, where to draw the line.
39/4/3 13 October 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Geraldine Jones, preventing long telephone conversations.
40/4/4 20 October 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Juno Alexander, the function of a good waiter.
41/4/5 27 October 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Teddie Beverley, the things I say.
42/4/6 3 November 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, bloomers.
43/4/7 10 November 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Geraldine Jones, interviewing a secretary.
44/4/8 17 November 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Fenella Fielding, receiving compliments.
45/4/9 24 November 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, appearing in public.
46/4/10 1 December 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, what I most desire.
47/4/11 8 December 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, watchdog.
48/4/12 15 December 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Moira Lister, hot dogs.
49/4/13 22 December 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, joy.
50/4/14 29 December 1969, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Miriam Karlin, makeup.
51/4/15 5 January 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, Bacchus.
52/4/16 12 January 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Aimi Macdonald, policemen.
53/4/17 19 January 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, false teeth.
54/4/18 26 January 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Diane Hart, astrology.
55/4/19 2 February 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Aimi Macdonald, Oliver Cromwell.
56/4/20 9 February 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Geraldine Jones, Constantinople.
57/4/21 16 February 1970, Clement Freud with Kenneth Williams, Derek Nimmo, Nicholas Parsons and Sheila Hancock, the Blarney stone.
58/4/22 23 February 1970, Kenneth Williams with Derek Nimmo, Clement Freud, Nicholas Parsons and Geraldine Jones, the alphabet.
59/4/23 2 March 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, passing the buck.
60/4/24 9 March 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Geraldine Jones, Hercules.
61/4/25 16 March 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, Boswell.
62/4/26 23 March 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Denise Coffey, breaking a code.
63/4/27 30 March 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Geraldine Jones, Romulus and Remus.
64/5/1 8 September 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, demonectomy.
65/5/2 15 September 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, something for nothing.
66/5/3 22 September 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, the little people.
67/5/4 29 September 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, a nice cup of tea.
68/5/5 6 October 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Denise Coffey, polystyrene.
69/5/6 13 October 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Denise Coffey, ironing my smalls.
70/5/7 20 October 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Denise Coffey, avoiding the bill in a restaurant.
71/5/8 27 October 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Denise Coffey, thrills.
72/5/9 3 November 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, admirable virtues.
73/5/10 10 November 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, avoiding income tax.
74/5/11 17 November 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, wine.
75/5/12 24 November 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, what excites me.
76/5/13 1 December 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Jacqueline MacKenzie, my cooker.
77/5/14 8 December 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Jacqueline MacKenzie, panic.
78/5/15 15 December 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Joan Turner, enjoying life.
79/5/16 22 December 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Liz Fraser, stuffing your Christmas bird.
80/5/17 29 December 1970, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Katharine Whitehorn, panache.
81/5/18 5 January 1971, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Prunella Scales, astronomy.
82/5/19 12 January 1971, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, Christmas party games.
83/5/20 19 January 1971, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, modern art.
84/5/21 26 January 1971, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, snags of show business.
85/5/22 2 February 1971, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, demonstrating.
86/5/23 9 February 1971, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, unblocking the kitchen sink.
87/5/24 16 February 1971, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, jellyfish.
88/5/25 23 February 1971, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Barbara Castle, Frederick the Great.
89/5/26 2 March 1971, Nicholas Parsons with Kenneth Williams, Derek Nimmo and Clement Freud, Kenneth Williams.
90/6/1 12 October 1971, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, doing my own thing.
91/6/2 19 October 1971, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, playing with my yoyo.
92/6/3 26 October 1971, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, men.
93/6/4 2 November 1971, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, being tickled.
94/6/5 9 November 1971, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, the chairman.
95/6/6 16 November 1971, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, just a minute.
96/6/7 23 November 1971, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, lights.
97/6/8 30 November 1971, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, treachery.
98/6/9 7 December 1971, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Katharine Whitehorn, flamboyancy.
99/6/10 14 December 1971, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Katharine Whitehorn, essentials.
100/6/11 21 December 1971, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, how to live to be a hundred years old.
101/6/12 28 December 1971, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, optimism.
102/6/13 4 January 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, impulses.
103/6/14 11 January 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, cooking an octopus.
104/6/15 18 January 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, sensible winter underwear.
105/6/16 25 January 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, jazz.
106/6/17 1 February 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, quince.
107/6/18 8 February 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, noise.
108/6/19 15 February 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, my life so far.
109/6/20 22 February 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, frozen food.
110/6/21 29 February 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Juno Alexander, fellow feeling.
111/6/22 7 March 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Juno Alexander, hats.
112/6/23 14 March 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, highways and byways.
113/6/24 21 March 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, the abdabs.
114/6/25 28 March 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, my socks.
115/6/26 4 April 1972, Andree Melly with Kenneth Williams, Clement Freud, Peter Jones and Nicholas Parsons, the position I now find myself in.
116/7/1 5 September 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, hairy legs.
117/7/2 12 September 1972, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, things I should never have done.
118/7/3 19 September 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, sneakers.
119/7/4 26 September 1972, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, malapropisms.
120/7/5 3 October 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, the Minute Waltz.
121/7/6 10 October 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, getting knotted.
122/7/7 17 October 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, fiddlesticks.
123/7/8 24 October 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, my opinion.
124/7/9 31 October 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, the multitude.
125/7/10 7 November 1972, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, empathy.
126/7/11 14 November 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, getting launched on the waters of oratory.
127/7/12 21 November 1972, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, nothing at all.
128/7/13 28 November 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, piggy banks.
129/7/14 5 December 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, putting a bold face on it.
130/7/15 12 December 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, what they say about me.
131/7/16 19 December 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, traumatic experiences.
132/7/17 26 December 1972, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, silent night.
133/7/18 2 January 1973, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, fan mail.
134/7/19 9 January 1973, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, what I stand for.
135/7/20 16 January 1973, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, reputation.
136/7/21 23 January 1973, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, idleness.
137/7/22 30 January 1973, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, my exuberance.
138/7/23 6 February 1973, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, relativity.
139/7/24 13 February 1973, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, my favourite drink.
140/7/25 20 February 1973, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, gross impertinence.
141/7/26 27 February 1973, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, aniseed balls.
142/8/1 30 July 1973, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, making a spectacular entrance.
143/8/2 6 August 1973, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, my foibles.
144/8/3 13 August 1973, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and David Jacobs, my giddy aunt.
145/8/4 20 August 1973, Nicholas Parsons with Clement Freud, Peter Jones, Jean Marsh and Warren Mitchell, what I don't usually say.
146/8/5 27 August 1973, Nicholas Parsons with Clement Freud, Peter Jones, Aimi Macdonald and Ian Carmichael, checks.
147/8/6 3 September 1973, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, keeping prices down.
148/8/7 10 September 1973, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and David Jacobs, a night on the tiles.
149/8/8 17 September 1973, Nicholas Parsons with Clement Freud, Peter Jones, Jean Marsh and Warren Mitchell, cobber.
150/8/9 24 September 1973, Nicholas Parsons with Clement Freud, Peter Jones, Aimi Macdonald and Ian Carmichael, steak and kidney pie.
151/8/10 1 October 1973, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, ecstasy.
152/8/11 8 October 1973, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Alfred Marks, how I restrain myself.
153/8/12 15 October 1973, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Barry Took, making notes.
154/8/13 22 October 1973, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Sheila Hancock, an appreciative audience.
155/8/14 29 October 1973, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Jean Marsh, exhortations.
156/8/15 5 November 1973, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Alfred Marks, being absolutely certain.
157/8/16 12 November 1973, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Barry Took, pate.
158/8/17 19 November 1973, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Sheila Hancock, diction.
159/8/18 26 November 1973, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Jean Marsh, rude words.
160/8/19 3 December 1973, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, Stephen Leacock.
161/8/20 10 December 1973, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Aimi Macdonald, my energy.
162/8/21 17 December 1973, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Andree Melly, my great-uncle Augustus.
163/8/22 24 December 1973, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, my dustbin.
164/8/23 31 December 1973, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, the wisest thing I ever heard.
165/8/24 7 January 1974, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Aimi Macdonald, how to think.
166/8/25 14 January 1974, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Andree Melly, peat.
167/8/26 21 January 1974, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, waiting.
168/9/1 16 September 1974, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, the first of a new series.
169/9/2 23 September 1974, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Jean Marsh, sparklers.
170/9/3 30 September 1974, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, my finest hour.
171/9/4 7 October 1974, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Jean Marsh, making a real fuss.
172/9/5 14 October 1974, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Barry Cryer, streaking.
173/9/6 21 October 1974, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, gettng wound up.
174/9/7 28 October 1974, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Barry Cryer, chambers.
175/9/8 4 November 1974, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Andree Melly, what I came here to say.
176/9/9 11 November 1974, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, waiting rooms.
177/9/10 18 November 1974, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, Niagara Falls.
178/9/11 25 November 1974, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Sheila Hancock, getting round people.
179/9/12 2 December 1974, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Alfred Marks, hedonism.
180/9/13 9 December 1974, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Andree Melly, my undoing.
181/9/14 16 December 1974, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, the Naismith steam hammer drop forging process.
182/9/15 23 December 1974, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, ?
183/9/16 30 December 1974, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Barry Cryer, distractions.
184/9/17 6 January 1975, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, a chairman's job.
185/9/18 13 January 1975, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Barry Cryer, how to celebrate.
186/9/19 20 January 1975, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Andree Melly, concealing the body.
187/9/20 27 January 1975, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Sheila Hancock, my muscles.
188/9/21 3 February 1975, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Andree Melly, getting carried away.
189/9/22 10 February 1975, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Sheila Hancock, getting pinched.
190/9/23 17 February 1975, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Alfred Marks, what I learn from this show.
191/9/24 24 February 1975, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Andree Melly, bill stickers.
192/9/25 3 March 1975, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Sheila Hancock, getting a lot of letters.
193/9/26 10 March 1975, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Aimi Macdonald, jury service.
194/9/27 17 March 1975, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Peter Jones, the way the wind blows.
195/10/1 23 September 1975, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Alfred Marks, starters.
196/10/2 30 September 1975, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Aimi Macdonald, standing up for my rights.
197/10/3 7 October 1975, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, attack.
198/10/4 14 October 1975, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Alfred Marks, a commanding lead.
199/10/5 21 October 1975, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Patrick Moore, how I carry on.
200/10/6 28 October 1975, Nicholas Parsons with Clement Freud, Peter Jones, Sheila Hancock and Graeme Garden, hang gliding.
201/10/7 4 November 1975, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Aimi Macdonald, democracy.
202/10/8 11 November 1975, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Liz Fraser, the biggest laugh I ever had.
203/10/9 18 November 1975, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Michael Palin, a spree.
204/10/10 25 November 1975, Nicholas Parsons with Kenneth Williams, Peter Jones, Sheila Hancock and William Rushton, pleasure.
205/10/11 2 December 1975, Nicholas Parsons with Clement Freud, Peter Jones, Aimi Macdonald and Patrick Moore, sleep walking.
206/10/12 9 December 1975, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, what gives me the horrors.
207/10/13 16 December 1975, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, polo.
208/10/14 23 December 1975, Nicholas Parsons with Kenneth Williams, Peter Jones, Sheila Hancock and William Rushton, crackers.
209/10/15 30 December 1975, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Aimi Macdonald, awards.
210/10/16 6 January 1976, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Alfred Marks, the Parisian Latin quarter.
211/10/17 13 January 1976, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Alfred Marks, putting one over.
212/10/18 20 January 1976, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Patrick Moore, the fourth Earl Ross to say nothing of his 42 inch reflector.
213/10/19 27 January 1976, Nicholas Parsons with Clement Freud, Peter Jones, Sheila Hancock and Graeme Garden, puppets.
214/10/20 3 February 1976, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Liz Fraser, staying power.
215/10/21 10 February 1976, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Michael Palin, spanker.
216/10/22 17 February 1976, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Peter Jones and Sheila Hancock, big game hunters.
217/10/23 24 February 1976, Nicholas Parsons with Clement Freud, Peter Jones, Aimi Macdonald and Patrick Moore, how to stop snoring.
218/10/24 2 March 1976, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Aimi Macdonald, pogo.
219/10/25 9 March 1976, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Andree Melly, fascinations.
220/11/1 3 November 1976, Nicholas Parsons with Kenneth Williams, Peter Jones, Sheila Hancock and Alfred Marks, what I put into life.
221/11/2 10 November 1976, Nicholas Parsons with Kenneth Williams, Clement Freud, Peter Jones and Graeme Garden, making my peace.
222/11/3 17 November 1976, Nicholas Parsons with Kenneth Williams, Peter Jones, Janet Brown and Magnus Pyke, keeping fit.
223/11/4 24 November 1976, Nicholas Parsons with Kenneth Williams, Derek Nimmo, Clement Freud and Patrick Moore, litterbugs.
